Codigo Cliente,Mensualidad,antiguedad_meses,ti_cod,megas_cod,municipio_cod,metodo_pago_cod,n_meses_activos,n_pagos_ok,n_moras_historicas,tasa_mora_historica,es_moroso,moras_ult_3_meses,moras_ult_6_meses,racha_limpia_final,dia_prom_pago_ult12,objetivo_mora_ultimo_mes
25,100.0,52.9238,0,0,4,0,53,52,1,0.0189,1,0,0,26,3.5,0
26,100.0,67.3456,0,0,4,2,68,66,2,0.0294,1,1,1,0,12.5833,1
27,100.0,3.9422,0,0,4,0,4,4,0,0.0,0,0,0,4,9.25,0
28,100.0,57.9501,0,0,4,0,58,57,1,0.0172,1,1,1,0,18.9167,1
29,80.0,62.4836,0,0,4,0,61,61,0,0.0,0,0,0,42,17.6667,0
30,100.0,1.0184,0,0,-1,0,58,58,0,0.0,0,0,0,39,20.0,0
31,100.0,10.2168,0,0,4,0,11,10,1,0.0909,1,1,1,0,13.4545,1
32,100.0,85.9067,0,0,4,2,85,82,3,0.0353,1,2,2,0,15.25,1
33,100.0,30.9461,0,0,4,0,31,31,0,0.0,0,0,0,31,4.25,0
34,100.0,63.929,0,0,4,0,64,63,1,0.0156,1,1,1,0,16.8333,1
35,100.0,70.4665,0,0,4,0,70,68,2,0.0286,1,2,2,0,10.0833,1
36,80.0,18.7254,0,0,4,0,19,18,1,0.0526,1,1,1,0,10.6667,1
37,100.0,22.6347,0,0,4,1,23,20,3,0.1304,1,3,3,0,8.0833,1
38,100.0,67.9698,0,0,4,0,69,69,0,0.0,0,0,0,69,4.3333,0
39,80.0,8.9685,1,0,4,0,8,8,0,0.0,0,0,0,0,23.75,0
40,100.0,36.3338,0,0,4,0,32,31,1,0.0312,1,1,1,0,19.5455,1
